Store_ID,Pack_1,Pack_2,Pack_3,Pack_4
1,1,0,0,0
2,0,1,0,0
3,0,0,1,0
4,0,0,0,1
5,1,0,0,0
6,0,1,0,0
7,0,0,1,0
8,0,0,0,1
9,1,0,0,0
10,0,1,0,0
11,0,0,1,0
12,0,0,0,1
13,1,0,0,0
14,0,1,0,0
15,0,0,1,0
16,0,0,0,1
17,1,0,0,0
18,0,1,0,0
19,0,0,1,0
20,0,0,0,1
21,1,0,0,0
22,0,1,0,0
23,0,0,1,0
24,0,0,0,1
25,1,0,0,0
26,0,1,0,0
27,0,0,1,0
28,0,0,0,1
29,1,0,0,0
30,0,1,0,0
31,0,0,1,0
32,0,0,0,1
33,1,0,0,0
34,0,1,0,0
35,0,0,1,0
36,0,0,0,1
37,1,0,0,0
38,0,1,0,0
39,0,0,1,0
40,0,0,0,1
41,1,0,0,0
42,0,1,0,0
43,0,0,1,0
44,0,0,0,1
45,1,0,0,0
46,0,1,0,0
47,0,0,1,0
48,0,0,0,1
49,1,0,0,0
50,0,1,0,0
51,0,0,1,0
52,0,0,0,1
53,1,0,0,0
54,0,1,0,0
55,0,0,1,0
56,0,0,0,1
57,1,0,0,0
58,0,1,0,0
59,0,0,1,0
60,0,0,0,1
61,1,0,0,0
62,0,1,0,0
63,0,0,1,0
64,0,0,0,1
65,1,0,0,0
66,0,1,0,0
67,0,0,1,0
68,0,0,0,1
69,1,0,0,0
70,0,1,0,0
71,0,0,1,0
72,0,0,0,1
73,1,0,0,0
74,0,1,0,0
75,0,0,1,0
76,0,0,0,1
77,1,0,0,0
78,0,1,0,0
79,0,0,1,0
80,0,0,0,1
81,1,0,0,0
82,0,1,0,0
83,0,0,1,0
84,0,0,0,1
85,1,0,0,0
86,0,1,0,0
87,0,0,1,0
88,0,0,0,1
89,1,0,0,0
90,0,1,0,0
91,0,0,1,0
92,0,0,0,1
93,1,0,0,0
94,0,1,0,0
95,0,0,1,0
96,0,0,0,1
97,1,0,0,0
98,0,1,0,0
99,0,0,1,0
100,0,0,0,1
101,1,0,0,0
102,0,1,0,0
103,0,0,1,0
104,0,0,0,1
105,1,0,0,0
106,0,1,0,0
107,0,0,1,0
108,0,0,0,1
109,1,0,0,0
110,0,1,0,0
111,0,0,1,0
112,0,0,0,1
113,1,0,0,0
114,0,1,0,0
115,0,0,1,0
116,0,0,0,1
117,1,0,0,0
118,0,1,0,0
119,0,0,1,0
120,0,0,0,1
121,1,0,0,0
122,0,1,0,0
123,0,0,1,0
124,0,0,0,1
125,1,0,0,0
126,0,1,0,0
127,0,0,1,0
128,0,0,0,1
129,1,0,0,0
130,0,1,0,0
131,0,0,1,0
132,0,0,0,1
133,1,0,0,0
134,0,1,0,0
135,0,0,1,0
136,0,0,0,1
137,1,0,0,0
138,0,1,0,0
139,0,0,1,0
140,0,0,0,1
141,1,0,0,0
142,0,1,0,0
143,0,0,1,0
144,0,0,0,1
145,1,0,0,0
146,0,1,0,0
147,0,0,1,0
148,0,0,0,1
149,1,0,0,0
150,0,1,0,0
151,0,0,1,0
152,0,0,0,1
153,1,0,0,0
154,0,1,0,0
155,0,0,1,0
156,0,0,0,1
157,1,0,0,0
158,0,1,0,0
159,0,0,1,0
160,0,0,0,1
161,1,0,0,0
162,0,1,0,0
163,0,0,1,0
164,0,0,0,1
165,1,0,0,0
166,0,1,0,0
167,0,0,1,0
168,0,0,0,1
169,1,0,0,0
170,0,1,0,0
171,0,0,1,0
172,0,0,0,1
173,1,0,0,0
174,0,1,0,0
175,0,0,1,0
176,0,0,0,1
177,1,0,0,0
178,0,1,0,0
179,0,0,1,0
180,0,0,0,1
181,1,0,0,0
182,0,1,0,0
183,0,0,1,0
184,0,0,0,1
185,1,0,0,0
186,0,1,0,0
187,0,0,1,0
188,0,0,0,1
189,1,0,0,0
190,0,1,0,0
191,0,0,1,0
192,0,0,0,1
193,1,0,0,0
194,0,1,0,0
195,0,0,1,0
196,0,0,0,1
197,1,0,0,0
198,0,1,0,0
199,0,0,1,0
200,0,0,0,1
201,1,0,0,0
202,0,1,0,0
203,0,0,1,0
204,0,0,0,1
205,1,0,0,0
206,0,1,0,0
207,0,0,1,0
208,0,0,0,1
209,1,0,0,0
210,0,1,0,0
211,0,0,1,0
212,0,0,0,1
213,1,0,0,0
214,0,1,0,0
215,0,0,1,0
216,0,0,0,1
217,1,0,0,0
218,0,1,0,0
219,0,0,1,0
220,0,0,0,1
221,1,0,0,0
222,0,1,0,0
223,0,0,1,0
224,0,0,0,1
225,1,0,0,0
226,0,1,0,0
227,0,0,1,0
228,0,0,0,1
229,1,0,0,0
230,0,1,0,0
231,0,0,1,0
232,0,0,0,1
233,1,0,0,0
234,0,1,0,0
235,0,0,1,0
236,0,0,0,1
237,1,0,0,0
238,0,1,0,0
239,0,0,1,0
240,0,0,0,1
241,1,0,0,0
242,0,1,0,0
243,0,0,1,0
244,0,0,0,1
245,1,0,0,0
246,0,1,0,0
247,0,0,1,0
248,0,0,0,1
249,1,0,0,0
250,0,1,0,0
251,0,0,1,0
252,0,0,0,1
253,1,0,0,0
254,0,1,0,0
255,0,0,1,0
256,0,0,0,1
257,1,0,0,0
258,0,1,0,0
259,0,0,1,0
260,0,0,0,1
261,1,0,0,0
262,0,1,0,0
263,0,0,1,0
264,0,0,0,1
265,1,0,0,0
266,0,1,0,0
267,0,0,1,0
268,0,0,0,1
269,1,0,0,0
270,0,1,0,0
271,0,0,1,0
272,0,0,0,1
273,1,0,0,0
274,0,1,0,0
275,0,0,1,0
276,0,0,0,1
277,1,0,0,0
278,0,1,0,0
279,0,0,1,0
280,0,0,0,1
281,1,0,0,0
282,0,1,0,0
283,0,0,1,0
284,0,0,0,1
285,1,0,0,0
286,0,1,0,0
287,0,0,1,0
288,0,0,0,1
289,1,0,0,0
290,0,1,0,0
291,0,0,1,0
292,0,0,0,1
293,1,0,0,0
294,0,1,0,0
295,0,0,1,0
296,0,0,0,1
297,1,0,0,0
298,0,1,0,0
299,0,0,1,0
300,0,0,0,1
301,1,0,0,0
302,0,1,0,0
303,0,0,1,0
304,0,0,0,1
305,1,0,0,0
306,0,1,0,0
307,0,0,1,0
308,0,0,0,1
309,1,0,0,0
310,0,1,0,0
311,0,0,1,0
